date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:44	12062/12062	---M-Z	200	added ('OK')	text/html	etag:%22a8825fc-2f1e-56e70f61449d4-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html	(from )
15:53:45	672/672	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2027%20Jun%202018%2010:23:44%20GMT	http://tf.itech-theme.com/robots.txt		(from )
15:53:45	1213/1213	---M--	200	added ('OK')	image/x-icon	etag:%22a8a1a83-4bd-56e70f9703859%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/images/icon/favicon.ico	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/images/icon/favicon.ico	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:47	144877/144877	---M--	200	added ('OK')	text/css	etag:%22a8a1a58-235ed-56e70f8856e5d%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/bootstrap.min.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/bootstrap.min.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:48	29062/29062	---M--	200	added ('OK')	text/css	etag:%22a8a1a5b-7186-56e70f88b9499%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/font-awesome.min.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/font-awesome.min.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:49	2505/2505	---M--	200	added ('OK')	text/css	etag:%22a8a1a5e-9c9-56e70f8922c1c%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/slicknav.min.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/slicknav.min.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:50	75047/75047	---M--	200	added ('OK')	text/css	etag:%22a8a1ba7-12527-56e70f87fffba%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/animate.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/animate.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:51	2919/2919	---M--	200	added ('OK')	text/css	etag:%22a8a1a60-b67-56e70f897d557%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/typography.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/typography.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:51	5209/5209	---M--	200	added ('OK')	text/css	etag:%22a8a1a5a-1459-56e70f884ddd5%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/default-css.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/default-css.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:52	37558/37558	---M--	200	added ('OK')	text/css	etag:%22a8a1a5f-92b6-56e70f89934e8%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/styles.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/styles.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:52	15310/15310	---M--	200	added ('OK')	text/css	etag:%22a8a1a5d-3bce-56e70f89266b4%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/responsive.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/responsive.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:53	0/0	---M--	200	added ('OK')	text/css	etag:%22a8a172f-0-56e70f9120ac4%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/triggerplate/color-0.css	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/css/triggerplate/color-0.css	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:53	13712/13712	---M-Z	200	added ('OK')	text/html	etag:%22a8825f5-3590-56e70f6078445-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:54	2898/2898	---M--	200	added ('OK')	image/png	etag:%22a8a1a84-b52-56e70f9703c41%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/images/icon/logo.png	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/images/icon/logo.png	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:54	15514/15514	---M--	200	added ('OK')	application/javascript	etag:%22a8a1a95-3c9a-56e70f9c43c59%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/vendor/modernizr-2.8.3.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/vendor/modernizr-2.8.3.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:54	12729/12729	---M-Z	200	added ('OK')	text/html	etag:%22a8825f3-31b9-56e70f60238ca-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index-canvas.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index-canvas.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:54	12735/12735	---M-Z	200	added ('OK')	text/html	etag:%22a8825f4-31bf-56e70f6033a9a-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index-particle.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index-particle.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:54	12573/12573	---M-Z	200	added ('OK')	text/html	etag:%22a8825f9-311d-56e70f60e7989-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index2.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index2.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:55	12757/12757	---M-Z	200	added ('OK')	text/html	etag:%22a8825f6-31d5-56e70f608c0ae-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index2-canvas.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index2-canvas.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:55	12763/12763	---M-Z	200	added ('OK')	text/html	etag:%22a8825f7-31db-56e70f60d3168-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index2-particle.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index2-particle.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:55	11872/11872	---M-Z	200	added ('OK')	text/html	etag:%22a8825fe-2e60-56e70f6185116-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index3.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index3.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:55	12056/12056	---M-Z	200	added ('OK')	text/html	etag:%22a8825fa-2f18-56e70f6130983-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index3-canvas.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index3-canvas.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:55	12057/12057	---M-Z	200	added ('OK')	text/html	etag:%22a88260a-2f19-56e70f620211b-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index4.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index4.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:53:56	11863/11863	---M-Z	200	added ('OK')	text/html	etag:%22a8825ff-2e57-56e70f619c817-gzip%22	http://tf.itech-theme.com/brittanto-preview/brittanto/index4-canvas.html	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/index4-canvas.html	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
